sample_id,type,peak_id,r_time,peak_area,wavelength,purity_pct
2025.07.03_STD_35.5_µg_01,std,9,13.395,5199,280,0.09612397941072062
2025.07.03_STD_35.5_µg_01,std,10,14.507,3920,280,0.07247662998461721
2025.07.03_STD_35.5_µg_01,std,11,14.924,211733,280,3.914717932789019
2025.07.03_STD_35.5_µg_01,std,12,15.191,4954442,280,91.60236214649154
2025.07.03_STD_35.5_µg_01,std,13,15.544,31912,280,0.5900189326706898
2025.07.03_STD_35.5_µg_01,std,14,15.714,15863,280,0.2932899952668323
2025.07.03_STD_35.5_µg_01,std,15,15.873,87868,280,1.6245858478286592
2025.07.03_STD_35.5_µg_01,std,16,16.325,68392,280,1.2644953259969234
2025.07.03_STD_35.5_µg_01,std,17,16.684,2473,280,0.045723139273458765
2025.07.03_STD_35.5_µg_01,std,18,18.167,1989,280,0.036774494142705005
2025.07.03_STD_35.5_µg_01,std,19,19.202,9598,280,0.17745680984498877
2025.07.03_STD_35.5_µg_01,std,20,19.338,8925,280,0.1650137557685481
2025.07.03_STD_8.875_µg_01,std,5,13.388,1136,280,0.0844848986962106
2025.07.03_STD_8.875_µg_01,std,6,14.933,49456,280,3.6780679136617884
2025.07.03_STD_8.875_µg_01,std,7,15.231,1242078,280,92.37397359400693
2025.07.03_STD_8.875_µg_01,std,8,15.544,4626,280,0.344037976556928
2025.07.03_STD_8.875_µg_01,std,9,15.715,1907,280,0.1418245614556986
2025.07.03_STD_8.875_µg_01,std,10,15.874,18216,280,1.3547331995159968
2025.07.03_STD_8.875_µg_01,std,11,16.33,15822,280,1.1766901999748627
2025.07.03_STD_8.875_µg_01,std,12,19.361,11378,280,0.8461876561315882
